colume no,test case id ,test  description,step no,STEP Description ,expected result ,actual result ,priority ,designer 
,,,8,order is excuted at specific price ,it should be accepted ,,,
,,,9,seller and buyer is available then order is executed ,it should be accepted ,,,
,,,10,seller and buyer is not avialble the order is not executed ,it should be accepted ,,,
,,,1,invester having sufficient fund then order is executed,it should be accepted ,,,
,,,12,invester having not sufficient fund then order nor executed ,it should be accepted ,,,
,,,13,limit price is reached to cmp then order is executed ,it should be accepted ,,,
,,,14,limit price is not reached to cmp then order is not executed ,it should be accepted ,,,
,,,15,in buyer side limit order is executed at low price , it should be accepted ,,,
,,,16,in seller side limit order is executed at high price ,it should be accepted ,,,
,,,17,in limit order is pending stage in 3.30pm,it should be accepted ,,,
,,,18,in limit order is pending stage in 3.30pm before not rejected order ,it should be accepted ,,,
,,,19,click on submit button ,it will send user to next page of application ,,,
,TC_SB_0026,varify that order should be selected in stoploss order,1,launch brower ,login page of application is successfully open ,,,
,,,2,open application ,,,,
,,,3,select share name ,,,,
,,,4,select trade type ,,,,
,,,5,select stock exchange ,,,,
,,,6,select product type,,,,
,,,7,select market order option ,,,,
,,,8,order should be executed in trigger price,it should be accepted ,,,
,,,9,order should be executed at stop price ,it should be accepted ,,,
,,,10,enter the velid 10 digit number ,it should be accepted ,,,
,,,11,enter the invalid test data ,it should be accepted ,,,
,,,12,enter the different datatype ,it should be accepted ,,,
,,,13,current market price is rich to trigger price then order executed ,it should be accepted ,,,
,,,14,current market price is rich to stop price then order executed ,it should be accepted ,,,
,,,15,click on submit button ,it will send user to next page of application ,,,
,TC_SB_0027,varify that order should be selected in stop loss market order ,1,launch brower ,login page of application is successfully open ,,,
,,,2,open application ,,,,
,,,3,select share name ,,,,
,,,4,select trade type ,,,,
,,,5,select stock exchange ,,,,
,,,6,select product type,,,,
,,,7,select market order option ,,,,
,,,8,quantity is available then execute the order ,it should be accepted ,,,
,,,9,quantity is not available then order should be cancel ,it should be accepted ,,,
,,,10,there is partial execution is happening ,it should be accepted ,,,
,,,11,they can set only  trigger point ,it should be accepted ,,,
,,,12,click on submit button ,it will send user to next page of application ,,,
,TC_SB_0028,varify that order should be selected in fill or kill order ,1,launch brower ,login page of application is successfully open ,,,
,,,2,open application ,,,,
,,,3,select share name ,,,,
,,,4,select trade type ,,,,
,,,5,select stock exchange ,,,,
,,,6,select product type,,,,
,,,7,select market order option ,,,,
,,,8,quantity is available then order is execute fill order type,it should be accepted ,,,
,,,9,quantity is not available then order shoukd be kill order type,it should be accepted ,,,
,,,10,ther is partial execution is not allowed ,it should be accepted ,,,
,,,11,click on subbmit button ,it will send user to next page of application ,,,
,TC_SB_0029,varify that order should be selected in immediate or cancel ,1,launch brower ,login page of application is successfully open ,,,
,,,2,open application ,,,,
,,,3,select share name ,,,,
,,,4,select trade type ,,,,
,,,5,select stock exchange ,,,,
,,,6,select product type,,,,
,,,7,select market order option ,,,,
,,,8,there is partial execution is happening ,it should be accepted ,,,
,,,9,quantity is available then order is execute imadiately ,it should be accepted ,,,
,,,10,quantity is not available then order should be cancel ,it should be accepted ,,,
,,,11,click on subbmit button ,it will send user to next page of application ,,,
